Country Name;United States
1960;"15,71508388"
1961;"15,9272617"
1962;"16,12549793"
1963;"16,30100559"
1964;"16,54616288"
1965;"16,86382039"
1966;"17,35266519"
1967;"17,89949615"
1968;"18,68120084"
1969;"19,60750603"
1970;"20,69283734"
1971;"21,74179193"
1972;"22,68163555"
1973;"23,92456212"
1974;"26,07746041"
1975;"28,4929144"
1976;"30,06098958"
1977;"31,92878909"
1978;"34,17460608"
1979;"37,00992179"
1980;"40,35305648"
1981;"44,17132113"
1982;"46,90034351"
1983;"48,73733016"
1984;"50,49562945"
1985;"52,09252604"
1986;"53,1416182"
1987;"54,45570946"
1988;"56,37659184"
1989;"58,58675053"
1990;"60,77984579"
1991;"62,83527525"
1992;"64,26723482"
1993;"65,79058653"
1994;"67,19549432"
1995;"68,60451713"
1996;"69,86064379"
1997;"71,06534261"
1998;"71,86520657"
1999;"72,8779546"
2000;"74,5290394"
2001;"76,20814315"
2002;"77,39587098"
2003;"78,92335536"
2004;"81,04198026"
2005;"83,58331418"
2006;"86,16234666"
2007;"88,49090697"
2008;"90,18810326"
2009;"90,76616817"
2010;"91,85698838"
2011;"93,76551372"
2012;"95,51948723"
2013;"97,19198548"
2014;"99,00937003"
2015;100
2016;"101,0022355"
2017;"102,9208842"
2018;"105,3951625"
2019;"107,2858785"
2020;"108,6858649"
2021;"113,568895"
2022;"121,524709"
